"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	3978038	Unreliable
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	217	3978038	5.5
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	0	3978038	Unreliable
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	6	3978038	Unreliable
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	2	3978038	Unreliable
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	180	3978038	4.5
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	2	3978038	Unreliable
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	1	3978038	Unreliable
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	2	3978038	Unreliable
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	150	3978038	3.8
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	53	3978038	1.3
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	2	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	5	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	0	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	9	3978038	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	22	3978038	0.6
	"< 1 year"	"1"	"Hodgkin's disease (C81)"	"GR113-038"	0	3978038	Unreliable
	"< 1 year"	"1"	"Non-Hodgkin's lymphoma (C82-C85)"	"GR113-039"	0	3978038	Unreliable
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	22	3978038	0.6
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	0	3978038	Unreliable
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	15	3978038	Unreliable
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	47	3978038	1.2
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	17	3978038	Unreliable
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	9	3978038	Unreliable
	"< 1 year"	"1"	"Malnutrition (E40-E46)"	"GR113-048"	7	3978038	Unreliable
	"< 1 year"	"1"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	2	3978038	Unreliable
	"< 1 year"	"1"	"#Meningitis (G00,G03)"	"GR113-050"	51	3978038	1.3
	"< 1 year"	"1"	"#Parkinson's disease (G20-G21)"	"GR113-051"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Alzheimer's disease (G30)"	"GR113-052"	0	3978038	Unreliable
	"< 1 year"	"1"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	404	3978038	10.2
	"< 1 year"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	292	3978038	7.3
	"< 1 year"	"1"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	2	3978038	Unreliable
	"< 1 year"	"1"	"Hypertensive heart disease (I11)"	"GR113-056"	1	3978038	Unreliable
	"< 1 year"	"1"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	0	3978038	Unreliable
	"< 1 year"	"1"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	8	3978038	Unreliable
	"< 1 year"	"1"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	4	3978038	Unreliable
	"< 1 year"	"1"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	1	3978038	Unreliable
	"< 1 year"	"1"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	3	3978038	Unreliable
	"< 1 year"	"1"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	0	3978038	Unreliable
	"< 1 year"	"1"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	3	3978038	Unreliable
	"< 1 year"	"1"	"Other heart diseases (I26-I51)"	"GR113-064"	281	3978038	7.1
	"< 1 year"	"1"	"Acute and subacute endocarditis (I33)"	"GR113-065"	0	3978038	Unreliable
	"< 1 year"	"1"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	17	3978038	Unreliable
	"< 1 year"	"1"	"Heart failure (I50)"	"GR113-067"	8	3978038	Unreliable
	"< 1 year"	"1"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	256	3978038	6.4
	"< 1 year"	"1"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	89	3978038	2.2
	"< 1 year"	"1"	"#Atherosclerosis (I70)"	"GR113-071"	5	3978038	Unreliable
	"< 1 year"	"1"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	15	3978038	Unreliable
	"< 1 year"	"1"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	1	3978038	Unreliable
	"< 1 year"	"1"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	14	3978038	Unreliable
	"< 1 year"	"1"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	24	3978038	0.6
	"< 1 year"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	174	3978038	4.4
	"< 1 year"	"1"	"Influenza (J09-J11)"	"GR113-077"	18	3978038	Unreliable
	"< 1 year"	"1"	"Pneumonia (J12-J18)"	"GR113-078"	156	3978038	3.9
	"< 1 year"	"1"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	50	3978038	1.3
	"< 1 year"	"1"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	50	3978038	1.3
	"< 1 year"	"1"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	26	3978038	0.7
	"< 1 year"	"1"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	19	3978038	Unreliable
	"< 1 year"	"1"	"Emphysema (J43)"	"GR113-084"	1	3978038	Unreliable
	"< 1 year"	"1"	"Asthma (J45-J46)"	"GR113-085"	3	3978038	Unreliable
	"< 1 year"	"1"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Pneumoconioses and chemical effects (J60-J66,J68)"	"GR113-087"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	8	3978038	Unreliable
	"< 1 year"	"1"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	279	3978038	7.0
	"< 1 year"	"1"	"#Peptic ulcer (K25-K28)"	"GR113-090"	1	3978038	Unreliable
	"< 1 year"	"1"	"#Diseases of appendix (K35-K38)"	"GR113-091"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Hernia (K40-K46)"	"GR113-092"	22	3978038	0.6
	"< 1 year"	"1"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	3	3978038	Unreliable
	"< 1 year"	"1"	"Alcoholic liver disease (K70)"	"GR113-094"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	3	3978038	Unreliable
	"< 1 year"	"1"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	85	3978038	2.1
	"< 1 year"	"1"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	1	3978038	Unreliable
	"< 1 year"	"1"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	1	3978038	Unreliable
	"< 1 year"	"1"	"Renal failure (N17-N19)"	"GR113-100"	83	3978038	2.1
	"< 1 year"	"1"	"Other disorders of kidney (N25,N27)"	"GR113-101"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	2	3978038	Unreliable
	"< 1 year"	"1"	"#Hyperplasia of prostate (N40)"	"GR113-103"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	0	3978038	Unreliable
	"< 1 year"	"1"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	11613	3978038	291.9
	"< 1 year"	"1"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	4825	3978038	121.3
	"< 1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	2819	3978038	70.9
	"< 1 year"	"1"	"All other diseases (Residual) "	"GR113-111"	718	3978038	18.0
	"< 1 year"	"1"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	1291	3978038	32.5
	"< 1 year"	"1"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	71	3978038	1.8
	"< 1 year"	"1"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	70	3978038	1.8
	"< 1 year"	"1"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	1	3978038	Unreliable
	"< 1 year"	"1"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	0	3978038	Unreliable
	"< 1 year"	"1"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	1220	3978038	30.7
	"< 1 year"	"1"	"Falls (W00-W19)"	"GR113-118"	4	3978038	Unreliable
	"< 1 year"	"1"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	1	3978038	Unreliable
	"< 1 year"	"1"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	30	3978038	0.8
	"< 1 year"	"1"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	22	3978038	0.6
	"< 1 year"	"1"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	9	3978038	Unreliable
	"< 1 year"	"1"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	1154	3978038	29.0
	"< 1 year"	"1"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	0	3978038	Unreliable
	"< 1 year"	"1"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	0	3978038	Unreliable
	"< 1 year"	"1"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	263	3978038	6.6
	"< 1 year"	"1"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	8	3978038	Unreliable
	"< 1 year"	"1"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	255	3978038	6.4
	"< 1 year"	"1"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	0	3978038	Unreliable
	"< 1 year"	"1"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	90	3978038	2.3
	"< 1 year"	"1"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	0	3978038	Unreliable
	"< 1 year"	"1"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	90	3978038	2.3
	"< 1 year"	"1"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	0	3978038	Unreliable
	"< 1 year"	"1"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	12	3978038	Unreliable
	"< 1 year"	"1"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	2	3978038	Unreliable
	"1-4 years"	"1-4"	"#Salmonella infections (A01-A02)"	"GR113-001"	1	15929243	Unreliable
	"1-4 years"	"1-4"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	21	15929243	0.1
	"1-4 years"	"1-4"	"#Tuberculosis (A16-A19)"	"GR113-004"	1	15929243	Unreliable
	"1-4 years"	"1-4"	"Respiratory tuberculosis (A16)"	"GR113-005"	1	15929243	Unreliable
	"1-4 years"	"1-4"	"Other tuberculosis (A17-A19)"	"GR113-006"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Whooping cough (A37)"	"GR113-007"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Meningococcal infection (A39)"	"GR113-009"	2	15929243	Unreliable
	"1-4 years"	"1-4"	"#Septicemia (A40-A41)"	"GR113-010"	54	15929243	0.3
	"1-4 years"	"1-4"	"#Syphilis (A50-A53)"	"GR113-011"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Measles (B05)"	"GR113-014"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Viral hepatitis (B15-B19)"	"GR113-015"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	2	15929243	Unreliable
	"1-4 years"	"1-4"	"#Malaria (B50-B54)"	"GR113-017"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	90	15929243	0.6
	"1-4 years"	"1-4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	354	15929243	2.2
	"1-4 years"	"1-4"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	14	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	2	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant melanoma of skin (C43)"	"GR113-028"	3	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of breast (C50)"	"GR113-029"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	94	15929243	0.6
	"1-4 years"	"1-4"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	118	15929243	0.7
	"1-4 years"	"1-4"	"Hodgkin's disease (C81)"	"GR113-038"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Non-Hodgkin's lymphoma (C82-C85)"	"GR113-039"	3	15929243	Unreliable
	"1-4 years"	"1-4"	"Leukemia (C91-C95)"	"GR113-040"	115	15929243	0.7
	"1-4 years"	"1-4"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	0	15929243	Unreliable
	"1-4 years"	"1-4"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	112	15929243	0.7
	"1-4 years"	"1-4"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	34	15929243	0.2
	"1-4 years"	"1-4"	"#Anemias (D50-D64)"	"GR113-045"	25	15929243	0.2
	"1-4 years"	"1-4"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	5	15929243	Unreliable
	"1-4 years"	"1-4"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	4	15929243	Unreliable
	"1-4 years"	"1-4"	"Malnutrition (E40-E46)"	"GR113-048"	3	15929243	Unreliable
	"1-4 years"	"1-4"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	1	15929243	Unreliable
	"1-4 years"	"1-4"	"#Meningitis (G00,G03)"	"GR113-050"	16	15929243	Unreliable
	"1-4 years"	"1-4"	"#Parkinson's disease (G20-G21)"	"GR113-051"	0	15929243	Unreliable
