"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	3	3951461	Unreliable
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	3951461	Unreliable
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	13	3951461	Unreliable
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	1	3951461	Unreliable
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	0	3951461	Unreliable
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	1	3951461	Unreliable
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	18	3951461	Unreliable
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	3951461	Unreliable
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	17	3951461	Unreliable
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	296	3951461	7.5
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	1	3951461	Unreliable
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	3951461	Unreliable
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	3951461	Unreliable
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	0	3951461	Unreliable
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	2	3951461	Unreliable
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	7	3951461	Unreliable
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	0	3951461	Unreliable
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	224	3951461	5.7
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	74	3951461	1.9
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	3	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	1	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	1	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	4	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	0	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	12	3951461	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	28	3951461	0.7
	"< 1 year"	"1"	"Hodgkin's disease (C81)"	"GR113-038"	0	3951461	Unreliable
	"< 1 year"	"1"	"Non-Hodgkin's lymphoma (C82-C85)"	"GR113-039"	2	3951461	Unreliable
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	21	3951461	0.5
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	2	3951461	Unreliable
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	3	3951461	Unreliable
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	24	3951461	0.6
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	69	3951461	1.7
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	18	3951461	Unreliable
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1	3951461	Unreliable
	"< 1 year"	"1"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	4	3951461	Unreliable
	"< 1 year"	"1"	"Malnutrition (E40-E46)"	"GR113-048"	2	3951461	Unreliable
	"< 1 year"	"1"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	2	3951461	Unreliable
	"< 1 year"	"1"	"#Meningitis (G00,G03)"	"GR113-050"	74	3951461	1.9
	"< 1 year"	"1"	"#Parkinson's disease (G20-G21)"	"GR113-051"	0	3951461	Unreliable
	"< 1 year"	"1"	"#Alzheimer's disease (G30)"	"GR113-052"	0	3951461	Unreliable
	"< 1 year"	"1"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	640	3951461	16.2
	"< 1 year"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	500	3951461	12.7
	"< 1 year"	"1"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	4	3951461	Unreliable
	"< 1 year"	"1"	"Hypertensive heart disease (I11)"	"GR113-056"	0	3951461	Unreliable
	"< 1 year"	"1"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	0	3951461	Unreliable
