"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	4	4132735	Unreliable
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	4132735	Unreliable
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	8	4132735	Unreliable
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	0	4132735	Unreliable
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	0	4132735	Unreliable
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	18	4132735	Unreliable
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	9	4132735	Unreliable
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	289	4132735	7.0
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	2	4132735	Unreliable
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	0	4132735	Unreliable
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	148	4132735	3.6
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	70	4132735	1.7
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	1	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	1	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	4	4132735	Unreliable
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	2	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	1	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	1	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	11	4132735	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	28	4132735	0.7
	"< 1 year"	"1"	"Hodgkin's disease (C81)"	"GR113-038"	0	4132735	Unreliable
	"< 1 year"	"1"	"Non-Hodgkin's lymphoma (C82-C85)"	"GR113-039"	1	4132735	Unreliable
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	27	4132735	0.7
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	0	4132735	Unreliable
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	0	4132735	Unreliable
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	20	4132735	0.5
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	61	4132735	1.5
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	15	4132735	Unreliable
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	4	4132735	Unreliable
	"< 1 year"	"1"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	10	4132735	Unreliable
	"< 1 year"	"1"	"Malnutrition (E40-E46)"	"GR113-048"	8	4132735	Unreliable
	"< 1 year"	"1"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	2	4132735	Unreliable
	"< 1 year"	"1"	"#Meningitis (G00,G03)"	"GR113-050"	68	4132735	1.6
	"< 1 year"	"1"	"#Parkinson's disease (G20-G21)"	"GR113-051"	1	4132735	Unreliable
	"< 1 year"	"1"	"#Alzheimer's disease (G30)"	"GR113-052"	0	4132735	Unreliable
	"< 1 year"	"1"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	571	4132735	13.8
	"< 1 year"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	396	4132735	9.6
	"< 1 year"	"1"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	2	4132735	Unreliable
	"< 1 year"	"1"	"Hypertensive heart disease (I11)"	"GR113-056"	1	4132735	Unreliable
	"< 1 year"	"1"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	0	4132735	Unreliable
	"< 1 year"	"1"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	12	4132735	Unreliable
	"< 1 year"	"1"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	4	4132735	Unreliable
	"< 1 year"	"1"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	2	4132735	Unreliable
	"< 1 year"	"1"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	6	4132735	Unreliable
	"< 1 year"	"1"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	1	4132735	Unreliable
	"< 1 year"	"1"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	5	4132735	Unreliable
	"< 1 year"	"1"	"Other heart diseases (I26-I51)"	"GR113-064"	381	4132735	9.2
	"< 1 year"	"1"	"Acute and subacute endocarditis (I33)"	"GR113-065"	2	4132735	Unreliable
	"< 1 year"	"1"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	25	4132735	0.6
	"< 1 year"	"1"	"Heart failure (I50)"	"GR113-067"	23	4132735	0.6
	"< 1 year"	"1"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	331	4132735	8.0
	"< 1 year"	"1"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	7	4132735	Unreliable
	"< 1 year"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	141	4132735	3.4
	"< 1 year"	"1"	"#Atherosclerosis (I70)"	"GR113-071"	4	4132735	Unreliable
	"< 1 year"	"1"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	23	4132735	0.6
	"< 1 year"	"1"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	1	4132735	Unreliable
	"< 1 year"	"1"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	22	4132735	0.5
	"< 1 year"	"1"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	23	4132735	0.6
	"< 1 year"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	226	4132735	5.5
	"< 1 year"	"1"	"Influenza (J09-J11)"	"GR113-077"	16	4132735	Unreliable
	"< 1 year"	"1"	"Pneumonia (J12-J18)"	"GR113-078"	210	4132735	5.1
	"< 1 year"	"1"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	43	4132735	1.0
	"< 1 year"	"1"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	43	4132735	1.0
	"< 1 year"	"1"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	0	4132735	Unreliable
	"< 1 year"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	32	4132735	0.8
	"< 1 year"	"1"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	23	4132735	0.6
