"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	4	3948350	Unreliable
	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	3948350	Unreliable
	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	219	3948350	5.5
	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	0	3948350	Unreliable
	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	0	3948350	Unreliable
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	0	3948350	Unreliable
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	10	3948350	Unreliable
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	3948350	Unreliable
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	3	3948350	Unreliable
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	159	3948350	4.0
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	3	3948350	Unreliable
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	3948350	Unreliable
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	3948350	Unreliable
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	0	3948350	Unreliable
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	4	3948350	Unreliable
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	1	3948350	Unreliable
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	0	3948350	Unreliable
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	144	3948350	3.6
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	52	3948350	1.3
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	0	3948350	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	3948350	Unreliable
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	0	3948350	Unreliable
